Ecarb,Emet
17.8635,1.4838
16.9491,0
17.1806,0.2778
18.4794,3.5836
16.8022,1.0232
18.3937,3.7145
17.1101,2.0815
17.5139,0
16.3449,0.2222
17.7382,4.5544
17.7382,7.2507
17.8253,8.6425
17.8983,10.0532
17.4886,1.2528
17.3705,1.0902
17.6321,5.8845
17.3322,3.277
16.8734,0.0866
17.1579,1.0178
16.4629,-0.5926
18.0218,11.2898
17.9095,8.5144
15.8195,-0.8056
17.3666,2.1002
17.7543,5.8246
17.5262,3.281
16.7559,0.784
16.9781,1.8572
16.9432,4.132
17.143,1.0567
16.448,0
15.8727,2.9606
17.2779,4.3525
16.9238,4
15.4004,0
17.0299,5.3118
17.384,5.6883
16.5416,3.2756
